Content,Video title,Video publish time,Duration,Thumbnail impressions,Thumbnail click-through rate (%),Views,Average view duration,Watch time (hours)
i7-tig1lROY,"""Iconic by Mistake"" floor part hit different this time 💫 #shorts #fyp #dance #fypシ゚viral #katseye","Jul 27, 2026",27,664,1.36,304,0:00:17,0.7631
hJNGvJ8XvbA,Honestly are you okay? #katseye #katseyeanimal #fypシ゚,"Jul 27, 2026",24,901,1.22,297,0:00:19,0.8244
Dd6KmLuCskQ,"iconic by mistake dance - illit, katseye, le sserafim #kpop #kpopdance #katseyedance #danceshorts","Jun 20, 2026",8,265,8.68,283,0:00:11,0.3883
BVaZbZWRw18,rate my transition #fypシ゚viral #transition #shorts #reels #explore #tiktok #trending #ayodesci,"Jul 26, 2026",12,665,3.31,222,0:00:10,0.3947
_7dLXcGvVQI,this is you sign to go talk to birds #divinemessenger,"Jul 10, 2025",41,395,29.11,206,0:00:14,0.6052
C6K7AIRzZQI,THANK YOU FOR 300 SUBSCRIBERS #eyekons #willdhearts #katseye,"Jul 16, 2026",16,499,6.41,198,0:00:15,0.5156
DMXISolknuI,Iconic by Mistake Dance Fail 😹 #katseye #lesserafim #illit #shorts,"Jul 5, 2026",32,581,4.13,191,0:00:17,0.5987
WEhFCjDru04,⁠FLO - 'Don't Break Her Heart' Official MV Choreo 💔🔥 #shorts #trending #flo #dance #trendingshorts,"Jul 18, 2026",29,1136,2.2,139,0:00:22,0.5371
GLVVLCAcWyA,ICONIC BY MISTAKE DANCE FAIL #eyekons #danceshorts #iconicbymistake,"Jun 20, 2026",24,178,3.37,136,0:00:14,0.2989
bIXPkULabk0,A little bit of Oxygen and A little bit of Beach 🌝🌊 #ayodesci #shorts #shortsfypシ,"Jul 24, 2026",10,419,1.91,135,0:00:13,0.2183
S5qSKCny4do,#dance #tiktok #foryou #explore #explorepage #fyp: #reels #shorts #blowthisup #makemefamous,"Jul 26, 2026",16,525,0.38,116,0:00:09,0.1055
8b-youhiIXI,KATSEYE 'PINKY UP' Dance Tutorial #eyekons #shorts,"Jun 21, 2026",16,270,2.59,114,0:00:12,0.2428
aHYqPZQEJiY,The drop at 15s was NOT in the original choreo 😭💫 #shorts #ayodesci,"Jul 23, 2026",34,382,11.26,113,0:00:18,0.4203
7VwtaudLoOg,"You should give it a try, babe 💋#saintsatine #weride #kpopdance #dancecovershortversion","Jul 24, 2026",11,423,1.42,112,0:00:10,0.1565
QwO2LWIjPDI,JUST LET ME DRIVE GANG 😭 #dance #shorts #shortsviral,"Jul 6, 2026",9,329,2.13,107,0:00:10,0.148
qdg1CwhaoQY,do i dance a little crazy? #dance,"Jul 16, 2026",24,304,3.29,105,0:00:15,0.2419
HmXePgtY2Zw,IT'S OK I'M OK - Tate McRae (Ayo’s. ver.) 😮‍💨🔥 #dance,"Jul 16, 2026",19,181,0,89,0:00:19,0.213
uQwzLKKiDCc,how i got stranded by an uber because i told the driver to EAT ZUCCHINI #shorts #storytime,"Jul 2, 2026",2,236,0,87,0:00:03,0.0275
scstoZTNAkc,ENGRAVE IT ON MY TOMBSTONE 🪦💀 #ayodesci #shorts #youtubeshorts #trending #viral #animalkatseye,"Jul 21, 2026",32,320,0.31,86,0:00:19,0.2341
Sky_s0lF-5o,Does the 'Lemon Tang' choreo actually work with ANY song? 😳🔥 #shorts #ayodesci,"Jul 19, 2026",16,326,5.52,80,0:00:19,0.2297
FUKdhhlJws0,iconic by mistake dance cover #dance #tiktokdance #lesserafim #katseye,"Jul 1, 2026",21,352,0.28,74,0:00:15,0.1239
YHy4fERLkaU,Did I eat the ‘WE RIDE’ World Scout Saint Satine Choreography #fypシ゚viral #ayodesci,"Jul 23, 2026",15,419,0.48,73,0:00:10,0.0851
jf6ehK_emns,Midnight til the sunrise ☀️ #ayodesci #trending #saintsatine,"Jul 21, 2026",16,345,2.03,63,0:00:11,0.0929
TQl3VEzSGN4,day 1 of teaching bae the iconic by mistake challenge 😭 #shorts,"Jul 9, 2026",18,195,4.62,63,0:00:15,0.1614
wx0HDNekggI,FLO'S CHOREO IS NOT FOR THE WEAK 😮‍💨🔥 (Remedied Dance Cover) #shorts #flolikethis #flo,"Jul 12, 2026",18,181,2.21,55,0:00:09,0.1016
rzqf1aT3xIo,KATSEYE Daniela - ‘ICONIC BY MISTAKE’ Dance Cover ❤️‍🔥 #katseye #illit #lesserafim,"Jul 17, 2026",40,286,1.05,52,0:00:19,0.1421
upekz2gZc64,iconic by mistake end choreo challenge #dance #katseye #illit #bts #lesserafim #kpop,"Jul 2, 2026",25,280,1.43,51,0:00:09,0.0895
o_5LEEcF-ao,US AGAINST THE WORLD SHAKIN 🍑🙂‍↕️ #katseye #wildhearts,"Jul 16, 2026",24,192,1.04,50,0:00:22,0.1507
Tt27oUtx3oE,I AM ICONIC BUY ME STEAK 🥵 #kpop #dance #shorts,"Jul 14, 2026",20,233,1.29,50,0:00:11,0.0793
CHyZfNyditM,CORTIS (코르티스) 'REDRED' Dance Practice (Ayo's ver.) #dance #cortisredred #kpopdance,"Jul 14, 2026",21,709,0.28,50,0:00:15,0.1182
IzEZHZG9vXw,I'm a bad ass bitch what you looking at? #tiktokdance #shorts,"Jun 28, 2026",17,245,0.82,50,0:00:09,0.0841
Lk5DghVEYDo,REDRED CORTIS ❤️‍🔥🥵 #dance #cortis,"Jul 10, 2026",21,403,0.5,49,0:00:12,0.0934
GxYRQqG3CSo,BUT YOU BEEN SO OUT OF TOUCH (JERSEY CLUB REMIX) 😮‍💨🔥 #shorts #katseye #dance #ayodesci #trending,"Jul 18, 2026",16,239,5.44,48,0:00:16,0.1006
uDr1B71Ec8I,Your gonna feel this everyday 🤭 #ayodesci #mantra,"Jul 22, 2026",15,316,0,45,0:00:31,0.0851
yi-LqrIZgXI,SAINT SATINE - 'WE RIDE' Dance Cover #ayodesci #saintsatine,"Jul 19, 2026",16,250,1.6,45,0:00:20,0.1007
CmU6WByzlM8,EVERYTHING IS GNARLY #ayodesci #katseye #trending,"Jul 20, 2026",25,254,0,45,0:00:19,0.0954
qDgTiG83tg4,LE SSERAFIM ‘ICONIC BY MISTAKE’ DANCE CHALLENGE ( i finally conquered the last part ) #dance  #kpop,"Jul 17, 2026",21,215,1.4,43,0:00:22,0.0937
Qf9-NEqNJrE,IF YOU CAN READ MY LIPS AT THE END ILL CASHAPP YOU $1💸🤫 #youtubeshorts #shortsfeed #viral #ytshort,"Jul 17, 2026",6,185,2.16,43,0:00:22,0.0599
CHrsTfO3-Fk,SHE DID IT AGAIN 🐬💦 #zaralarsson #tyla #apop,"Jul 12, 2026",16,203,0,42,0:00:10,0.0537
S5e3UKNl9EY,LET ME DRIVE FUNK 🥵🤬 #viral #shorts,"Jul 7, 2026",9,179,1.12,42,0:00:07,0.0434
19cE9mdKHTk,SPEND DAT - Yung Miami (Ayo’s. ver.) 🤑🔥 #tiktokdance #spenddat #shorts,"Jul 14, 2026",16,300,3.67,41,0:00:11,0.0793
ChcRlexoTvE,I-I-I-I I AM ICONIC BY Mistake #shorts,"Jul 5, 2026",33,198,1.52,41,0:00:20,0.1107
gW7Ahy5prOU,THIS THAT PRETTY GIRL MANTRA 💋💖 #jennie #ayodesci #dance,"Jul 21, 2026",16,318,1.26,41,0:00:11,0.0378
51lNZg_UZ7I,ROUND 2 OF 'TOO EASY' DANCE CHALLENGE #tinashe #dance #ayodesci,"Jul 20, 2026",19,327,0.61,38,0:00:07,0.0324
hC1H9ZEIjsk,do i make it look too easy? #ayodesci,"Jul 21, 2026",16,295,0.68,36,0:00:14,0.0322
hFYbczwZvsw,BUT IT’S A STATE OF MIND ‘PINK UP’ DANCE #ayodesci #katseye #trending,"Jul 20, 2026",26,225,0.44,34,0:00:29,0.1089
5OuokMaaZjY,EVERYTHING IS ICONIC BY MISTAKE #katseye #gnarly #kpop,"Jul 12, 2026",23,153,7.19,30,0:00:14,0.0816
IZI_ECQAjGM,I FINALLY CONQUERED THE END CHOREO! 😏 (Iconic by Mistake) #dance #shorts #tiktokdances #shortsdance,"Jul 4, 2026",33,175,1.14,30,0:00:10,0.053
_vnCNHqKbq4,I hit that 'Too Easy' choreo... but should I go FULL OUT for Part 2? 🔥 #shorts #tinashe #ayodesci,"Jul 20, 2026",16,278,0.72,29,0:00:08,0.0238
vJzfGPkugSg,I DONT WANT HIM ANYWAY GIRL TAKE HIM 💅🔥 #shorts #ayodesci #tatemcrae #itsokimok #trending #dance,"Jul 18, 2026",44,254,0.79,27,0:00:11,0.0401
62v18nMIk4o,if pinky up and iconic by mistake had a child 🤣 #katseye #dance #danceshorts #ayosden #ayodesci,"Jul 7, 2026",18,168,0.6,27,0:00:16,0.0468
omUGC9__K8E,Which pair actually looked the best? 🤔#shorts #ayodesci #shopwithme #trending,"Jul 19, 2026",52,234,0.85,27,0:00:33,0.0871
YbRFcNAbl5s,IF WE GET ARRESTED HAHA #dance #youtubeshorts #shortsfeed #goviral #ytshorts #ayodesci #ytviral,"Jul 18, 2026",24,195,0.51,26,0:00:14,0.0448
aVw77cIT1mo,SPEND DAT - Yung Miami (Alternate Choreo) 💅🏾,"Jul 15, 2026",16,188,0,26,0:00:11,0.0381
lwtamwMdMu8,ARE YOU ICONIC BY MISTAKE??!! #katseye #illit #ayodesci,"Jul 21, 2026",61,252,0.4,24,0:00:21,0.0418
Oh1kFBQb8tU,POV: it’s 4 am and i wanna shake sum 🤣🍑 #dance #danceshorts #fyp,"Jul 14, 2026",45,137,0.73,23,0:00:25,0.0865
